Vendor,Title,CVE,CVSS,Date of NVD publication,Date of vendor advisory,Used in ransomware attacks?,Summary,Date added to KEV Catalog,Vendor Advisory,Date of Known Exploitation,Threat actor,Targets,Metasploit Module,Grey Noise (#of Malicious IPs Scanning),Number of vulnerable devices,Number of impacted devices,Grey Noise Link
Sophos,Sophos SFOS SQL Injection Vulnerability,CVE-2020-12271,9.8,4/27/20,Unknown,Known,"Sophos Firewall operating system (SFOS) firmware contains a SQL injection vulnerability when configured with either the administration (HTTPS) service or the User Portal is exposed on the WAN zone. Successful exploitation may cause remote code execution to exfiltrate usernames and hashed passwords for the local device admin(s), portal admins, and user accounts used for remote access (but not external Active Directory or LDAP passwords).",11/3/21,https://community.sophos.com/kb/en-us/135412,Apr-20,Unknown,"Telecommunication,Construction,Transportation,Education,Manufacturing,Auto,Airline,Pharmaceuticals,Retail,Insurance,Legal",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-12271
Sophos,Sophos SG UTM Remote Code Execution Vulnerability,CVE-2020-25223,9.8,9/25/20,9/18/20,Unknown,A remote code execution vulnerability exists in the WebAdmin of Sophos SG UTM.,3/25/22,https://community.sophos.com/b/security-blog/posts/advisory-resolved-rce-in-sg-utm-webadmin-cve-2020-25223,Unknown,DEV-1061,Unknown,Y,19,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-25223
Sophos,Sophos Firewall Authentication Bypass Vulnerability,CVE-2022-1040,9.8,3/25/22,3/25/22,Unknown,An authentication bypass vulnerability in User Portal and Webadmin of Sophos Firewall allows for remote code execution.,3/31/22,https://www.sophos.com/en-us/security-advisories/sophos-sa-20220325-sfos-rce,Mar-22,TA413,"Public administration,Individuals,Manufacturing,Government,Professional,scientific, and technical services",N,11,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-1040
Sophos,Sophos Firewall Code Injection Vulnerability,CVE-2022-3236,9.8,9/23/22,9/23/22,Unknown,A code injection vulnerability in the User Portal and Webadmin of Sophos Firewall allows for remote code execution.,9/23/22,https://www.sophos.com/en-us/security-advisories/sophos-sa-20220923-sfos-rce,Unknown,FIN8,"Logistics,Healthcare,Technology,Government,Manufacturing,Education,Retail,Hospitality",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-3236
Sophos,Sophos Web Appliance Command Injection Vulnerability,CVE-2023-1671,9.8,4/4/23,4/4/23,Unknown,Sophos Web Appliance contains a command injection vulnerability in the warn-proceed handler that allows for remote code execution.,11/16/23,https://www.sophos.com/en-us/security-advisories/sophos-sa-20230404-swa-rce,Nov-23,Unknown,Unknown,N,13,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2023-1671
PANW,Palo Alto Networks PAN-OS Remote Code Execution Vulnerability,CVE-2019-1579,8.1,7/19/19,7/18/19,Known,Remote Code Execution in PAN-OS with GlobalProtect Portal or GlobalProtect Gateway Interface enabled.,1/10/22,https://security.paloaltonetworks.com/CVE-2019-1579,Unknown,OilRig,"Government,Technology,Energy,Transportation",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2019-1579
PANW,Palo Alto Networks PAN-OS Authentication Bypass Vulnerability,CVE-2020-2021,10,6/29/20,6/29/20,Known,Palo Alto Networks PAN-OS contains a vulnerability in SAML which allows an attacker to bypass authentication.,3/25/22,https://security.paloaltonetworks.com/CVE-2020-2021,Unknown,Unknown APT,"Technology,Healthcare,Government,Education",N,99,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2020-2021
PANW,Palo Alto Networks PAN-OS Remote Code Execution Vulnerability,CVE-2017-15944,9.8,12/11/17,12/6/17,Unknown,"Palo Alto Networks PAN-OS contains multiple, unspecified vulnerabilities which can allow for remote code execution when chained.",8/18/22,https://security.paloaltonetworks.com/CVE-2017-15944,Unknown,Unknown,Unknown,N,22,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2017-15944
PANW,Palo Alto Networks PAN-OS Reflected Amplification Denial-of-Service Vulnerability,CVE-2022-0028,8.6,8/10/22,8/10/22,Unknown,A Palo Alto Networks PAN-OS URL filtering policy misconfiguration could allow a network-based attacker to conduct reflected and amplified TCP denial-of-service (RDoS) attacks.,8/22/22,https://security.paloaltonetworks.com/CVE-2022-0028,Unknown,Unknown,"Technology,Education,Government,Healthcare",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2022-0028
PANW,Palo Alto Networks PAN-OS Command Injection Vulnerability,CVE-2024-3400,10,4/12/24,4/12/24,Unknown,Palo Alto Networks PAN-OS GlobalProtect feature contains a command injection vulnerability that allows an unauthenticated attacker to execute commands with root privileges on the firewall.,4/12/24,https://security.paloaltonetworks.com/CVE-2024-3400,Apr-24,"UTA0218, DarkGate, StormBamboo, Fighting Ursa, TAG-100, UTA0137, multiple others","Legal,Healthcare,Construction,Hospitality,Public administration,Trade,Financial,Telecommunications,Technology,Finance,Manufacturing,Diplomatic,Semiconductor,Retail,Education,Food,Government",Y,29,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2024-3400
Fortinet,Fortinet FortiOS Default Configuration Vulnerability,CVE-2019-5591,6.5,8/14/20,7/26/19,Unknown,Fortinet FortiOS contains a default configuration vulnerability that may allow an unauthenticated attacker on the same subnet to intercept sensitive information by impersonating the Lightweight Directory Access Protocol (LDAP) server.,11/3/21,https://fortiguard.fortinet.com/psirt/FG-IR-19-037,Unknown,"IRGC, Lapsus$, Lazarus Group","Foreign affairs,Critical Infrastructure,Airline,Telecommunications,Construction,Education,Health,Financial,Legal,Medical,Pharmaceuticals,Critical Industries,Telecommunication,Retail,Auto,Insurance,Transportation,Human rights,Academics,Healthcare,Journalists,Manufacturing,Government,Media,Ballistic,Political",N,0,?,?,https://viz.greynoise.io/query/%0A%20%20CVE-2019-5591
